what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1332290338844
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290338905
started,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1332290470492
started,bundle,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.ui",1332290471690
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1332290471925
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1332290472057
opened,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1332290472158
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1332290472246
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1332290472294
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1332290475903
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.maximizePart",1332290479332
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290489021
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290608344
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290610716
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290613780
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290617215
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290623110
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290625100
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290630378
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290631738
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290640815
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290641625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290650725
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1332290658228
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290659128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290673907
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290675008
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290676308
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290688502
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290768966
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1332290869530
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1332290891187
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.publish",1332290895629
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290899848
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290921444
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1332290922829
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290926312
started,bundle,org.eclipse.wst.html.core,1.1.402.v201008311901,"org.eclipse.wst.html.core",1332290929930
started,bundle,org.eclipse.wst.css.core,1.1.401.v201008161749,"org.eclipse.wst.css.core",1332290929994
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1332290930028
started,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1332290930064
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.ui",1332290930077
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1332290930266
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1332290930282
started,bundle,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.ui",1332290930304
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.core",1332290930357
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1332290938265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332290938288
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1332290938552
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1332290938619
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1332290940313
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.stop",1332290940378
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1332290940999
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1332290942300
